Major,Major_Code
electricla engineering,ee
electrinics and telecommuniation,ee
electrinocs & communication engineering,ee
electrionics and communication,ee
electrnics & communication,ee
electrnoics and comunication,ee
electrnonics and communication engineering,ee
electrocnics and communication,ee
electroics,ee
electroincs,ee
electroincs & communication,ee
electroincs and communication,ee
electroinics engineering,ee
electroncis & communication engineering,ee
electroncis and communication,ee
electroncs & communication,ee
electronic,ee
electronic & communication,ee
electronic & communication engineering,ee
electronic & computer engineering,ee
electronic and communication,ee
electronic and communication engineering,ee
electronic and communications,ee
electronic and communications engineering,ee
electronic and electrical engineering,ee
electronic and instrumentation,ee
electronic and telecommunication,ee
electronic and telecommunication engineering,ee
electronic and telecommunications,ee
electronic commerce,ee
electronic engg,ee
electronic engineering,ee
electronic engineering with avionics,ee
electronic ncommunication,ee
electronic s and  communication,ee
electronic science and technology,ee
electronic tc,ee
electronic& instrumentation,ee
electronica and comm,ee
electronica and communication,ee
electronica and instrumentation,ee
electronica and telecommunication,ee
electronical communication engineering,ee
electronicas and telecommunications,ee
electroniccs and  communication,ee
electronicd,ee
electronice & communication,ee
electronice and communication,ee
electronice and communication engineering,ee
electronice and instrumentation,ee
electronics,ee
electronics ,ee
electronics  & communication,ee
electronics  & telecom,ee
electronics  and communication engineering,ee
electronics $ telecom,ee
electronics % instrumentation,ee
electronics &  communication,ee
electronics &  communication engineering,ee
electronics & com,ee
electronics & comm,ee
electronics & comm engg,ee
electronics & comm.,ee
electronics & comm. engg,ee
electronics & comm. engg.,ee
electronics & comminication,ee
electronics & commmunication engineering,ee
electronics & commn,ee
electronics & commn.,ee
electronics & communcation,ee
electronics & communicaiton,ee
electronics & communicatiion,ee
electronics & communication,ee
electronics & communication ,ee
electronics & communication  engg,ee
electronics & communication (ece),ee
electronics & communication engg,ee
electronics & communication engg.,ee
electronics & communication engineering,ee
electronics & communication engineering(ece),ee
electronics & communication engineerinng,ee
electronics & communication enginnering,ee
electronics & communication university,ee
electronics & communication.,ee
electronics & communications,ee
electronics & communications engg,ee
electronics & communications engineering,ee
electronics & computer engg,ee
electronics & computer engineering,ee
electronics & computers,ee
electronics & comuuincation,ee
electronics & coomunication,ee
electronics & electrical,ee
electronics & electrical communication engineering,ee
electronics & electrical communications engineering,ee
electronics & electrical engg.,ee
electronics & instr.,ee
electronics & instrumenation,ee
electronics & instrumentaion,ee
electronics & instrumentation,ee
electronics & instrumentation & control,ee
electronics & instrumentation engineeering,ee
electronics & instrumentation engineering,ee
"electronics & instrumentation, physics",ee
electronics & instumentation,ee
electronics & instumentation engineering,ee
electronics & intrumentation,ee
electronics & tc,ee
electronics & telcom,ee
electronics & telcommunication,ee
electronics & tele communication,ee
electronics & tele.,ee
electronics & tele/,ee
electronics & telecom,ee
electronics & telecom engg,ee
electronics & telecom engg.,ee
electronics & telecom.,ee
electronics & telecomm,ee
electronics & telecomm.,ee
electronics & telecomm. engg.,ee
electronics & tele-communication,ee
electronics & telecommunication,ee
electronics & telecommunication ,ee
electronics & telecommunication engg,ee
electronics & telecommunication engineering,ee
electronics & telecommunications,ee
electronics & telecommunications ,ee
electronics & telecommunicaton,ee
electronics & teleom,ee
electronics &communication,ee
electronics &telecom,ee
electronics &telecommunication,ee
electronics &telecommunications,ee
electronics (2008),ee
electronics (instrumentation and control) engineering,ee
electronics \7 telecomm,ee
electronics adn telecommunication,ee
electronics and  telecommunication,ee
electronics and biomedical,ee
electronics and biomedical ,ee
electronics and biomedical engineering,ee
electronics and cmmunication engineering,ee
electronics and comm,ee
electronics and comm engg,ee
electronics and comm.,ee
electronics and comm. engg,ee
electronics and comm. engg.,ee
electronics and commincation,ee
electronics and comminications,ee
electronics and comminucation,ee
electronics and commmmunication,ee
electronics and commmunication,ee
electronics and commn,ee
electronics and commnication,ee
electronics and commnication engineering,ee
electronics and commnications,ee
electronics and commnunication,ee
electronics and commuication,ee
electronics and commuication engineering,ee
electronics and commuications,ee
electronics and commuinication,ee
electronics and communcation,ee
electronics and communcation engineering,ee
electronics and communcations,ee
electronics and communciation,ee
electronics and communciation engineering,ee
electronics and communcication engineering,ee
electronics and communcitation,ee
electronics and communiaction,ee
electronics and communiation,ee
electronics and communiations,ee
electronics and communicaion,ee
electronics and communicaition,ee
electronics and communicaiton,ee
electronics and communicaiton engineering,ee
electronics and communicartion,ee
electronics and communicati,ee
electronics and communicatiion,ee
electronics and communicatiion engineering,ee
electronics and communicatin,ee
electronics and communicatio,ee
electronics and communicatioin,ee
electronics and communication,ee
electronics and communication ,ee
electronics and communication  engineering,ee
electronics and communication department,ee
electronics and communication department:,ee
electronics and communication eng,ee
electronics and communication engg,ee
electronics and communication engg.,ee
electronics and communication engginecool,ee
electronics and communication enggineering,ee
electronics and communication engineeering,ee
electronics and communication engineering,ee
electronics and communication engineering ,ee
electronics and communication engineering (2005-2009)),ee
electronics and communication engineering (ece),ee
electronics and communication engineering college,ee
electronics and communication engineering department,ee
electronics and communication engineering department:,ee
electronics and communication engineering(ece),ee
electronics and communication engineering.,ee
electronics and communication enginerring,ee
electronics and communication enginnering,ee
electronics and communication engneering,ee
electronics and communication negineering,ee
electronics and communicational engineering,ee
electronics and communicationi,ee
electronics and communications,ee
electronics and communications (ece),ee
electronics and communications department,ee
electronics and communications department:,ee
electronics and communications engg,ee
electronics and communications engg.,ee
electronics and communications engineeing,ee
electronics and communications engineering,ee
electronics and communications(ece),ee
electronics and communicationsw,ee
electronics and communicaton engineering,ee
electronics and communicatons,ee
electronics and communicatton,ee
electronics and communicatuon,ee
electronics and communicccation,ee
electronics and communiction,ee
electronics and communiction engineering,ee
electronics and communincation,ee
electronics and communitaion,ee
electronics and communnications,ee
electronics and computer,ee
electronics and computer engg,ee
electronics and computer engineering,ee
electronics and computer science,ee
electronics and computer science engineering,ee
electronics and computers,ee
electronics and computers engineering,ee
electronics and comunication,ee
electronics and comunnication,ee
electronics and comuunication engineering,ee
electronics and comuunications,ee
electronics and control engineering,ee
electronics and coomunication,ee
electronics and ctelecommunication,ee
electronics and eelectrical comm.,ee
electronics and electrical,ee
electronics and electrical communication,ee
electronics and electrical communication engg,ee
electronics and electrical engg.,ee
electronics and electrical engineering,ee
electronics and electricals,ee
electronics and electronics,ee
electronics and engineering,ee
electronics and iinstrumentation,ee
electronics and instruementation engineering,ee
electronics and instrumenatation,ee
electronics and instrumenation,ee
electronics and instrumentaion,ee
electronics and instrumentaion engg.,ee
electronics and instrumentatiom,ee
electronics and instrumentation,ee
electronics and instrumentation ,ee
electronics and instrumentation and biology,ee
electronics and instrumentation and economics,ee
electronics and instrumentation engg,ee
electronics and instrumentation engineering,ee
electronics and instrumentation engineering ,ee
electronics and instrumentation enginnering,ee
electronics and instrumentation technology,ee
electronics and instrumentation/mathematics,ee
electronics and instrumentattion,ee
electronics and insttrumentation,ee
electronics and tc,ee
electronics and technology,ee
electronics and telacommunication,ee
electronics and telcomm,ee
electronics and telcommunication,ee
electronics and tele,ee
electronics and tele comm,ee
electronics and tele communication,ee
electronics and tele- communication engg.,ee
electronics and tele communication engineering,ee
electronics and tele communications,ee
electronics and telecom,ee
electronics and telecom engg,ee
electronics and telecom engg.,ee
electronics and telecom engineering,ee
electronics and telecom.,ee
electronics and telecomm,ee
electronics and tele-comm,ee
electronics and telecomm ,ee
electronics and telecomm engg.,ee
electronics and tele-comm.,ee
electronics and telecomm.,ee
electronics and telecommincation,ee
electronics and tele-comminication,ee
electronics and telecomminications,ee
electronics and telecommmunication,ee
electronics and telecommnucations,ee
electronics and telecommnunications,ee
electronics and telecommuication,ee
electronics and telecommuincation,ee
electronics and telecommumnication,ee
electronics and telecommuncation,ee
electronics and telecommuniations,ee
electronics and telecommunicaiton,ee
electronics and telecommunicatin,ee
electronics and telecommunicatio,ee
electronics and telecommunicatio ,ee
electronics and tele-communication,ee
electronics and telecommunication,ee
electronics and telecommunication ,ee
electronics and telecommunication (extc),ee
electronics and telecommunication engg.,ee
electronics and telecommunication engineering,ee
electronics and telecommunication engineerinng,ee
electronics and telecommunication enginering,ee
electronics and telecommunication.,ee
electronics and telecommunicationcommunication,ee
electronics and telecommunicationengineering,ee
electronics and telecommunications,ee
electronics and tele-communications,ee
electronics and telecommunications (extc),ee
electronics and telecommunications engg,ee
electronics and telecommunications engineering,ee
electronics and telecommunicaton,ee
electronics and telecommunicatons,ee
electronics and telecommuniccation,ee
electronics and telecommuniication,ee
electronics and telecommunitcation,ee
electronics and telecommunition,ee
electronics and telecommunncation,ee
electronics and telecomunation,ee
electronics and telecomunication,ee
electronics and telecomunications,ee
electronics and telematics,ee
electronics and temlecommunication,ee
electronics and tlecommunication,ee
electronics andcommunication,ee
electronics andtelecommunications engineering,ee
electronics ans communication,ee
electronics ans telecommunication,ee
electronics circuit design,ee
electronics communication,ee
electronics communication engineering,ee
electronics comunication,ee
electronics department,ee
electronics department:,ee
electronics dept,ee
electronics dept.,ee
electronics electrical and instrumentation,ee
electronics endineering,ee
electronics eng,ee
electronics engg,ee
electronics engg.,ee
electronics engineer,ee
electronics engineering,ee
electronics engineering - design and manufacturing,ee
electronics engineering department,ee
electronics engineering department:,ee
electronics engineering dept.,ee
electronics engineering technology,ee
electronics engineering(avionics),ee
"electronics engineering, 2009 batch (old syllabus)",ee
electronics enginnerring,ee
electronics enineering,ee
electronics instrumentation & control,ee
electronics instrumentation & control engg,ee
electronics instrumentation and control,ee
electronics n comm,ee
electronics n communication,ee
electronics n communication engg,ee
electronics n telecomm,ee
electronics n yelecommunication,ee
electronics nd communication,ee
electronics science,ee
electronics technology,ee
electronics telecom,ee
electronics telecomm,ee
electronics telecommunication,ee
electronics tlecomm,ee
electronics university,ee
electronics& communication,ee
electronics& instrumentation,ee
electronics& telecommunication enginnering,ee
electronics&communication,ee
electronics&communication ,ee
electronics&communication eng,ee
electronics&communication engineering,ee
electronics&communications,ee
electronics&communications engineering,ee
electronics&instrumentation,ee
electronics&instrumentation control,ee
electronics&instrumentation engineering,ee
electronics&telecommunication,ee
electronics(ece),ee
electronics(instru & control),ee
"electronics, instrumentation and control",ee
electronics/communication,ee
electronincs & communication enginerring,ee
electronincs and communication,ee
electronins and communications engineering,ee
electronins and telecommunication,ee
electronis & communication,ee
electronis and communaitions,ee
electronis and instrumentation,ee
electroniucs,ee
electronix,ee
electronix & telecomm engg.,ee
electronix and telecom,ee
electronnics and communication engineering,ee
electronoics and communication,ee
electrons and insreumnetation engineering,ee
electrronics and communication engineering,ee
electrronics and telecommunication,ee
electtronics and instrumentation,ee
eledctronics engineering,ee
eleectronics and communication,ee
elelctronics & communications,ee
elesctronics and communication,ee
eletrical,ee
eletrical  & electronics,ee
eletronics,ee
eletronics and communication,ee
eletronics and communications,ee
eletronics and telecommunication,ee
elex & instrumentation,ee
elex & telecom,ee
elex and telecomm,ee
elex n telecomm,ee
elex. and telecommunication,ee
elictrical,ee
eller college of management,ee
elrctronics and communication,ee
eltrx and telecom,ee
elx and comm,ee
embedded system technologies,ee
embedded systems,ee
en&tc,ee
engineering : electronics and telecommunication,ee
engineering electronics and telecommunication,ee
e-tc,ee
microelectronics,ee
ms ece,ee
robotics,ee
school of electrical engineering,ee
school of electrical engineers,ee
school of electrical technology,ee
school of electronics engineering,ee
slectronics and instrumentation enng,ee
systems and control,ee
t ce,ee
tealecommunication,ee
technology leadership,ee
telcommunication,ee
telcommunication engineering,ee
tele communications,ee
telecom,ee
telecom management,ee
telecomm,ee
telecommunciation,ee
telecommunication,ee
telecommunication department,ee
telecommunication engg,ee
telecommunication engineering,ee
telecommunications,ee
telecommunications engg,ee
telecommunications engineering,ee
telecommunications engineering.,ee
telecommunucation,ee
tronix,ee
"uiet, electronics and communication",ee
b.c.a,info_sys
b.tech information security,info_sys
bachelor of computer applications,info_sys
bachelors in computer application,info_sys
bca,info_sys
bca ,info_sys
"bca, post grad diploma in cs",info_sys
bechalors in computer application,info_sys
coes,info_sys
computer science/ information systems,info_sys
cs / mis,info_sys
cs / msis / itm,info_sys
cs / se / it / mis,info_sys
cs | it | ist,info_sys
"cs, mis",info_sys
cs/ mis/ ba,info_sys
cs/is,info_sys
cs/mis,info_sys
cs|it|ist,info_sys
csse,info_sys
data informatics,info_sys
ebiz/mis/mism,info_sys
i.s.e,info_sys
info sc and engg,info_sys
info science,info_sys
info science and engg,info_sys
info science engg,info_sys
info. science,info_sys
infomation science and engineering,info_sys
infor science,info_sys
informantion science,info_sys
information assurance,info_sys
information management,info_sys
information management ,info_sys
information networking,info_sys
information of technology,info_sys
information sc,info_sys
information sceince engineering,info_sys
information school,info_sys
information science,info_sys
information science ,info_sys
information science & engg,info_sys
information science & engg.,info_sys
information science & engineering,info_sys
information science and engg,info_sys
information science and engg.,info_sys
information science and engineering,info_sys
information science and enginnering,info_sys
information science and engneering,info_sys
information science and technology,info_sys
information science and technologyu,info_sys
information science engg,info_sys
information science engg.,info_sys
information science engineering,info_sys
information sciences,info_sys
information sciences and technology,info_sys
information sciene and engineering,info_sys
information sciene and engineering ,info_sys
information scinece and engineering,info_sys
information security,info_sys
information ssstems,info_sys
information system,info_sys
information systems,info_sys
information systems/ accounting,info_sys
m sc software engineering,info_sys
m. sc. software engineering,info_sys
m.s.software engineering,info_sys
m.sc software engineering,info_sys
m.sc(5 year integrated)information technology,info_sys
m.sc(tech) information systems,info_sys
m.sc(tech.) information systems,info_sys
m.sc. software engineering,info_sys
m.sc.(tech) information systems,info_sys
m.sc.(tech.) information systems,info_sys
mca,info_sys
mca (masters of computer applications),info_sys
mce,info_sys
mis,info_sys
mis/ game dev/ digital media,info_sys
mis/analytics,info_sys
mis/cs,info_sys
mis/info sec,info_sys
mis/mem,info_sys
mis/ms cs,info_sys
ml,info_sys
mpcs,info_sys
ms in software engineering,info_sys
ms software engineering,info_sys
msc comp sci,info_sys
msc computeer science,info_sys
msc software engg,info_sys
msc software engineering,info_sys
msc tech information systems,info_sys
msc tech. information systems,info_sys
msc(tech)information systems,info_sys
msc. software engineering,info_sys
msc-software engineering,info_sys
mse,info_sys
analytics,math
b.sc maths (hons),math
biostatistics,math
bsc in eco math stats,math
central department of mathematics(m.sc),math
department of mathematics and computer science,math
masters in mathematics/ mechanical engineering,math
math,math
mathematical sciences,math
mathematical statistics and probability,math
mathematics,math
mathematics & computing,math
mathematics & mechanical,math
mathematics + civil,math
mathematics and computer applications,math
mathematics and computer science,math
mathematics and computing,math
mathematics and economics,math
mathematics and mechanical,math
mathematics and statistics,math
"mathematics, computer science",math
"mathematics, mechanical",math
mathematics/statistics,math
maths and engg,math
maths department,math
statistics,math
b.e mebchanical,mech
b.e mechanical,mech
b.e mechanical engineering,mech
b.e production (mechanical),mech
b.e(hons) mechanical engineering,mech
b.e. mechanical engineering,mech
b.e-mechanical engineering,mech
b.tech mechatronics,mech
be in mechanical,mech
be mech,mech
be mechanical,mech
be mechanical engineering,mech
btech-mechanical,mech
department of mechanical engg,mech
department of mechanical engineering,mech
department: of mechanical engg,mech
department: of mechanical engineering,mech
dept. of mech. engineering,mech
dept. of mechanical engg.,mech
dept. of mechanical engineering,mech
dpt. of mechanical engineering,mech
machanical,mech
machanical engg.,mech
me,mech
me + mba,mech
meachanical engineering,mech
mecahanical,mech
mecahnical,mech
mecchanical engineering,mech
mecganical,mech
mecganical ,mech
mech,mech
mech & mfg dept,mech
mech & prod,mech
mech / pete,mech
mech and elec,mech
mech and industrial engg,mech
mech dept,mech
mech dept (engineering design),mech
mech eng,mech
mech engg,mech
mech engg.,mech
mech engineering,mech
mech(production),mech
mech.,mech
mech. eng.,mech
mech. engg.,mech
mech/indu,mech
mechaical,mech
mechaincal,mech
mechancal,mech
mechancal engineering,mech
mechancial,mech
mechancial engg,mech
mechancial engineering,mech
mechancical,mech
mechangical engineering,mech
mechanial,mech
mechanial and energy engineering,mech
mechanicak engineering,mech
mechanical,mech
mechanical ,mech
mechanical  engineering,mech
mechanical  with spl. in energy,mech
mechanical & automation,mech
mechanical & automation engineering,mech
mechanical & industrial,mech
mechanical & industrial engg. dept.,mech
mechanical & manufacturing,mech
mechanical & manufacturing (mechatronics),mech
mechanical & production engineering,mech
mechanical &industrial engg. and lmt managment school,mech
mechanical &physics,mech
mechanical (manufacturing and management),mech
mechanical (ms),mech
mechanical (sandwich),mech
mechanical (sw),mech
mechanical (with spec. in energy engg.),mech
mechanical / industrial engg.,mech
mechanical 2006-10,mech
mechanical and aerospace,mech
mechanical and aerospace engineering,mech
mechanical and automation,mech
mechanical and automation engineering,mech
mechanical and energy,mech
mechanical and energy engg.,mech
mechanical and industrial engineering,mech
mechanical and industrial engineering department,mech
mechanical and industrial engineering department:,mech
mechanical and industrial production,mech
mechanical and manufacturing,mech
mechanical and manufacturing engineering,mech
mechanical and mining machinery,mech
mechanical department,mech
mechanical department:,mech
mechanical dept,mech
mechanical dept.,mech
mechanical design,mech
mechanical design & manufacturing,mech
mechanical durg,mech
mechanical egineering,mech
mechanical enfineering,mech
mechanical eng,mech
mechanical eng./ statistics/ enconomics,mech
mechanical engg,mech
mechanical engg dept,mech
mechanical engg.,mech
mechanical engg.(manufacturing &management) ),mech
mechanical enggineering,mech
mechanical engieering,mech
mechanical engierning,mech
mechanical engineeering,mech
mechanical engineeing,mech
mechanical engineeirng,mech
mechanical engineer,mech
mechanical engineerig,mech
mechanical engineerin,mech
mechanical engineering,mech
mechanical engineering ,mech
mechanical engineering (sandwich pattern) - involving 2 semesters industrial internship as part of the curriculum,mech
mechanical engineering + msc economics,mech
mechanical engineering and msc chemistry,mech
mechanical engineering department,mech
mechanical engineering dept.,mech
mechanical engineering(sandwich),mech
"mechanical engineering, b.tech and m.tech dual degree (5 yr)",mech
mechanical engineerng,mech
mechanical enginering,mech
mechanical enginerring,mech
mechanical enginneing,mech
mechanical enginnering,mech
mechanical enigineering,mech
mechanical enigneering,mech
mechanical enineering,mech
mechanical in power plants,mech
mechanical n automation,mech
mechanical production,mech
mechanical production & industrial engineering,mech
mechanical production and industrial engineering,mech
mechanical sandwich,mech
mechanical with energy,mech
mechanical with specialization in energy engineering,mech
mechanical( abet accredited),mech
mechanical(industrial production engineering),mech
mechanical(industrial production engineering) ,mech
mechanical(production),mech
mechanical(specialization in energy),mech
"mechanical, mechatronics",mech
mechanical-industrial engineering,mech
mechanicaml,mech
mechanicl,mech
mechanics,mech
mechanics and mathematics,mech
mechanicsl,mech
mechanngical engineeri,mech
mechannical engineering,mech
mechanocal,mech
mechanocal engineeering,mech
mecharonics,mech
mechatronic,mech
mechatronics,mech
mechatronics ,mech
mechatronics (b.tech),mech
mechatronics department,mech
mechatronics department:,mech
mechatronics engg,mech
mechatronics engineering,mech
mechatronics/robotics,mech
mechatronics\robotics,mech
mechinicql,mech
mechnaical,mech
mechnaical engg,mech
mechnaical engineering,mech
mechnical,mech
mechnical engg.,mech
mechnical engineering,mech
mechnical production,mech
mechnincal engg,mech
mehanical engg.,mech
mehanical engineering,mech
mehcanical,mech
mehcanical engineering,mech
mehchanical,mech
meshanical,mech
nechanical,mech
school of mechanical and building sciences,mech
sw mech,mech
b.a (hons) business and management,mgmt
b.com,mgmt
b.com corporate,mgmt
b.tech - mba (integrated),mgmt
bachelor in business administration,mgmt
bachelor of business administration,mgmt
bachelor of management studies,mgmt
bachelors of business administration,mgmt
bachelors of business administration ,mgmt
bba,mgmt
bba ,mgmt
business,mgmt
business ,mgmt
business administration,mgmt
business analytics,mgmt
business analytics and project management,mgmt
business and management,mgmt
business economics,mgmt
business management,mgmt
business studies,mgmt
bussiness,mgmt
center for management studies,mgmt
college of international management,mgmt
department of management,mgmt
disaster management,mgmt
dual b.tech + mba,mgmt
enterprise system management,mgmt
general management,mgmt
hospital & healthcare management,mgmt
hrm,mgmt
information technology management,mgmt
institute of management sciences,mgmt
international business,mgmt
kelley school of business,mgmt
m.com(business management),mgmt
m.s. quality management,mgmt
managemant,mgmt
management,mgmt
management and strategy,mgmt
management information system,mgmt
management of technology,mgmt
management science,mgmt
management science and engg,mgmt
management science and systems,mgmt
management sciences,mgmt
management studies,mgmt
manatgement,mgmt
manipal institute of jewellery management,mgmt
marketing communication,mgmt
master of engineering management,mgmt
master of management studies,mgmt
masters in business administration,mgmt
mba,mgmt
mba (marketing) + be (e&tc),mgmt
mba finance,mgmt
mbbs,mgmt
mbge,mgmt
mems & nanotechnology,mgmt
mim -masters in management,mgmt
mims,mgmt
mis-management related courses,mgmt
pgdm (systems and marketing),mgmt
school of management,mgmt
sports management,mgmt
supply chain management,mgmt
systems design & management,mgmt
systems engineering and management,mgmt
technical communication,mgmt
technology management,mgmt
telecom management ,mgmt
water resources engineering and management,mgmt
(mis / msim / msis / msit),other
a.e.i.e,other
accessory design,other
accountin,other
accounting,other
accounts,other
actuarial science,other
advertising,other
aei,other
aeie,other
aero,other
aeronaiutical,other
aeronatuical,other
aeronautical,other
aeronautical ,other
aeronautical dept,other
aeronautical engg,other
aeronautical engg.,other
aeronautical enggineering,other
aeronautical engineering,other
aeronauticcal,other
aeronautics,other
aerospace,other
aerospace and mechanical engineering,other
aerospace engg.,other
aerospace engineering,other
aerospace engineering ,other
agricultural & irrigation engineering,other
agricultural and biological engineering,other
agricultural and biological engineering ,other
agricultural and food engineering,other
agricultural biotechnology,other
agricultural engg,other
agricultural engg.,other
agricultural engineering,other
agriculture,other
agriculture b.sc,other
aib,other
aiit,other
aircraft maintenance,other
aitem,other
aittm,other
american media and popular culture,other
animal sciences,other
animation,other
anthropology,other
apparels and fashion technology,other
applied  and chemistry and chemical technologyal t,other
applied arts,other
applied chemistry,other
applied economics,other
applied economics research center,other
applied electronics & instrumentation,other
applied electronics and instrumentation,other
applied electronics and instrumentation engg.,other
applied electronics and instrumentation engineering,other
applied mathematics,other
applied petroleum engineering,other
applied psychology,other
applied science,other
applied sciences,other
architcture,other
architectural engineering,other
architecture,other
architecture & planning,other
architecture and planing,other
architecture and planning,other
art,other
arts,other
aset,other
astrology,other
astronautical engineering,other
astronomy,other
atmospheric and oceanic science,other
atmospheric science,other
audiology,other
audiology and speech therapy department:,other
auromation engg,other
auto,other
automation,other
automation and control engg,other
automobile,other
automobile ,other
automobile egineering,other
automobile engg.,other
automobile engineering,other
automobiles,other
automotive,other
automotive & marine engineering,other
automotive engineer,other
automotive engineering,other
aviation,other
aviation mechanical,other
avionics,other
b snautical tech,other
b tech in aerospace engineering,other
b.a (hons) in hotel management,other
b.arch,other
b.com (accounting & finance),other
b.com hons,other
b.comm,other
b.e. materials science,other
b.e.aeronautical,other
b.e.production engineering,other
b.sc multimedia,other
b.tech in aerospace,other
b.tech-petroleum engineering,other
ba,other
bachelor in mass media - advertising specialisation,other
bachelor of architecture,other
bachelors in commerce and computer applications,other
bachelors in mass media,other
bachelors of mass media (journalism),other
bams,other
basic & applied sciences,other
bat,other
bcom,other
bcom in financial markets,other
bcps,other
be aero,other
be automobile,other
be marine technology,other
becom,other
central department: of mathematics(m.sc),other
centre for atmospheric and oceanic sciences (caos),other
centre for biotechnology,other
centre for converging technologies,other
centre for excellence in basic science,other
centre for modeling & simulation,other
ceramic engg,other
ceramic engineering,other
ceramic technology,other
cm,other
cmpn,other
coe,other
colledge of home economics,other
"college of agriculture, dapoli",other
commerce,other
communicaiton research center,other
ctm,other
dentistry,other
department of architecture,other
department of commerce,other
department of economics,other
department of english,other
department of farm machinery & power engg.,other
department of food technology,other
department of geographic information systems,other
department of geomatics,other
department of industrial engineering,other
department of instrumentation and control,other
department of materials science ang engineering,other
department of paper technology,other
department of production techinology,other
department: of economics,other
department: of english ,other
department: of farm machinery & power engg.,other
department: of food technology,other
department: of geographic information systems,other
department: of geomatics,other
department: of industrial engineering,other
department: of materials science ang engineering,other
department: of molecular and cellular engineering,other
department: of paper technology,other
dept of aeronautical engineering,other
dept. of aeronautical & automobile,other
dept. of aerospace,other
dept. of dyestuff technology,other
dept. of instrumentation,other
dept. of metallurgical engineering,other
dept. of petroleum engg and earth science,other
dept. of seed tech,other
dept.of metallurgical and materials engg.,other
design,other
designing,other
development studies,other
dfdf,other
digital media,other
digital media technology,other
digital systems,other
digital techniques for design and planning,other
diplomacy,other
dyes,other
e.x.t.c,other
early childcare education,other
earth and environmental sciences,other
earth and planetary sciences,other
earth sc,other
earth science,other
earthquake engineering,other
ecm,other
econ&mgt,other
economcs,other
economics,other
economics ,other
economics & mechanical,other
"economics , electrical and electronics",other
economics and entrepreneurship,other
economics and finance,other
economics double major in statistics,other
education,other
enc,other
energy,other
energy division,other
energy technologies,other
engg,other
engg design,other
enggineering,other
engineering,other
engineering & technology innovation management,other
engineering and design,other
engineering and technology,other
engineering- instrumentation,other
engineering management,other
engineering management / industrial engineering / imse,other
engineering science,other
engineering technology,other
engineerning,other
english,other
english hons.,other
english literature,other
"english literature, arts",other
eni,other
ent,other
entc,other
entertainment studies,other
entertainment technology-animations and graphics,other
entrepreneurship,other
environmental,other
environmental engg,other
environmental engg.,other
environmental engineering,other
environmental management,other
environmental science,other
environmental science & engineering,other
environmetal science,other
environnmenatl engg,other
envt,other
epidemology,other
esat,other
esd,other
et,other
etc,other
etce,other
ete,other
etm,other
etronics engineering,other
etrx,other
evolutionary biology/systems biology,other
exhibition design,other
extc,other
extc ,other
faculty of engineering,other
faculty of engineering ,other
faculty of engineering and technology,other
faculty of pharmacy,other
faculty of science and humanities,other
faculty of technology,other
fashion management,other
fashion technology,other
feec,other
fiance,other
fibers and textile processing technology,other
fiec,other
film and video communication design,other
film production,other
fime,other
finance,other
finance/mathematics,other
financial engineering,other
fire protection engineering,other
food and process engineering,other
food engg and technology,other
food engineering,other
food engineering and technology,other
food production,other
food science,other
food science and technology,other
food tech,other
food technology,other
food technology and management,other
forensic science,other
forestry,other
game development,other
gamedesign,other
gas   engineering,other
gasengineering,other
ge,other
general engineering,other
genetic engineering,other
genetics,other
"genetics, microbiology, chemistry",other
genomics,other
geodesy,other
geographic and cartographic sciences,other
geographic information system,other
geography,other
geoinformatics,other
geological sciences,other
geology,other
german studies,other
git,other
graphic design,other
green technology,other
health administration,other
health informatics,other
health rehabilitation sciences,other
health sciences,other
hfgh,other
history,other
hm,other
homoeopathy,other
hospitality,other
hr & marketing,other
human development and family studies,other
human genetics,other
human genomics,other
human resources,other
humanities,other
humanities and social sciences,other
i & p,other
idp (mechanical+mba),other
ie,other
iem,other
ies,other
iips,other
iit,other
immunology,other
industrail eng,other
industrial,other
industrial & production,other
industrial & production engineering,other
industrial (m.tech),other
industrial and production,other
industrial and production engg.,other
industrial and production engineering,other
industrial and system engineering,other
industrial design,other
industrial electronics,other
industrial engg,other
industrial engg.,other
industrial engg. & management,other
industrial engg. & mgmt.,other
industrial engg. and management,other
industrial engg/robotics,other
industrial engineer,other
industrial engineering,other
industrial engineering & management,other
industrial engineering and engineering management,other
industrial engineering and management,other
industrial engineering-b.tech,other
industrial ingineering,other
industrial pharmacy,other
industrial production,other
industrial production engineering,other
industrial wngineering,other
industrial(mech deptt),other
inst & controls engg,other
institute of engineering,other
institute of remote sensing,other
instru,other
instru.,other
instructional technology,other
instruemntation,other
instrumantation and control engineering,other
instrumenation,other
instrumenation & control engineering,other
instrumenation and control,other
instrument technology,other
instrumentaion,other
instrumentaion and control,other
instrumentaiton technology,other
instrumentataion and control,other
instrumentation,other
instrumentation ,other
instrumentation & contrl,other
instrumentation & control,other
instrumentation & control ,other
instrumentation & control engeineering,other
instrumentation & control engg,other
instrumentation & control engineering,other
instrumentation & controls,other
instrumentation & electronics,other
instrumentation and control,other
instrumentation and control engg,other
instrumentation and control engineering,other
instrumentation and control systems engineering,other
instrumentation and controlengineering,other
instrumentation and controls,other
instrumentation and controls engg.,other
instrumentation and electronics engineering,other
instrumentation engg,other
instrumentation engg.,other
instrumentation engineering,other
instrumentation science,other
instrumentation tech,other
instrumentation technlogy,other
instrumentation technology,other
